fund_id,end_date,ret
HF0000000G,201704,0.006651
HF0000000G,201705,0.029491
HF0000000G,201706,0.047429
HF0000000G,201707,-0.013294
HF0000000G,201708,0.032454
HF0000000G,201709,0.032759
HF0000000G,201710,0.083314
HF0000000G,201711,-0.022173
HF0000000G,201712,0.005063
HF0000000G,201801,0.094295
HF0000000G,201802,-0.060129
HF0000000G,201803,-0.018691
HF0000000G,201804,-0.017669
HF0000000G,201805,0.077309
HF0000000G,201806,-0.158685
HF0000000G,201807,-0.032089
HF0000000G,201808,-0.081764
HF0000000G,201809,0.034751
HF0000000G,201810,-0.089869
HF0000000G,201811,-0.00489
HF0000000G,201812,-0.044927
HF0000000G,201901,0.023391
HF0000000G,201902,0.133376
HF0000000G,201903,0.098334
HF0000000G,201904,0.005023
HF0000000G,201905,-0.060987
HF0000000G,201906,0.041824
HF0000000G,201907,0.004556
HF0000000G,201908,0.035324
HF0000000G,201909,-0.004978
